col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
0 75.000000 2.000000 2.000000 
1 74.000000 2.000000 2.000000 
2 73.000000 2.000000 2.000000 
3 72.000000 2.000000 2.000000 
4 71.000000 2.000000 2.000000 
5 70.000000 2.000000 2.000000 
6 69.000000 2.000000 2.000000 
7 68.000000 2.000000 2.000000 
8 67.000000 2.000000 2.000000 
9 66.000000 2.000000 2.000000 
10 65.000000 2.000000 2.000000 
11 64.000000 2.000000 2.000000 
12 63.000000 2.000000 2.000000 
13 62.000000 2.000000 2.000000 
14 61.000000 2.000000 2.000000 
15 60.000000 2.000000 2.000000 
16 59.000000 2.000000 2.000000 
17 58.000000 2.000000 2.000000 
18 57.000000 2.000000 2.000000 
19 56.000000 2.000000 2.000000 
20 55.000000 2.000000 2.000000 
21 54.000000 2.000000 2.000000 
22 53.000000 2.000000 2.000000 
23 52.000000 2.000000 2.000000 
24 51.000000 2.000000 2.000000 
25 50.000000 2.000000 2.000000 
26 49.000000 2.000000 2.000000 
27 48.000000 2.000000 2.000000 
28 47.000000 2.000000 2.000000 
29 46.000000 2.000000 2.000000 
30 45.000000 2.000000 2.000000 
31 44.000000 2.000000 2.000000 
32 43.000000 2.000000 2.000000 
33 42.000000 2.000000 2.000000 
34 41.000000 2.000000 2.000000 
35 40.000000 2.000000 2.000000 
36 39.000000 2.000000 2.000000 
37 38.000000 2.000000 2.000000 
38 37.000000 2.000000 2.000000 
39 36.000000 2.000000 2.000000 
40 35.000000 2.000000 2.000000 
41 34.000000 2.000000 2.000000 
42 33.000000 2.000000 2.000000 
43 32.000000 2.000000 2.000000 
44 31.000000 2.000000 2.000000 
45 30.000000 2.000000 2.000000 
46 29.000000 2.000000 2.000000 
47 28.000000 2.000000 2.000000 
48 27.000000 2.000000 2.000000 
49 26.000000 2.000000 2.000000 
50 25.000000 2.000000 2.000000 
51 24.000000 2.000000 2.000000 
52 23.000000 2.000000 2.000000 
53 22.000000 2.000000 2.000000 
54 21.000000 2.000000 2.000000 
55 20.000000 2.000000 2.000000 
56 19.000000 2.000000 2.000000 
57 18.000000 2.000000 2.000000 
58 17.000000 2.000000 2.000000 
59 16.000000 2.000000 2.000000 
60 15.000000 2.000000 2.000000 
61 14.000000 2.000000 2.000000 
62 13.000000 2.000000 2.000000 
63 12.000000 2.000000 2.000000 
64 11.000000 2.000000 2.000000 
65 10.000000 2.000000 2.000000 
66 9.000000 2.000000 2.000000 
67 8.000000 2.000000 2.000000 
68 7.000000 2.000000 2.000000 
69 6.000000 2.000000 2.000000 
70 5.000000 2.000000 2.000000 
71 4.000000 2.000000 2.000000 
72 3.000000 2.000000 2.000000 
73 2.000000 2.000000 2.000000 
74 1.000000 2.000000 2.000000 
75 0.000000 2.000000 2.000000 
76 82.000000 0.000000 0.000000 
77 81.000000 0.000000 0.000000 
78 80.000000 0.000000 0.000000 
79 79.000000 0.000000 0.000000 
80 78.000000 0.000000 0.000000 
81 77.000000 0.000000 0.000000 
82 76.000000 0.000000 0.000000 
83 75.000000 0.000000 0.000000 
84 74.000000 0.000000 0.000000 
85 73.000000 0.000000 0.000000 
86 72.000000 0.000000 0.000000 
87 71.000000 0.000000 0.000000 
88 70.000000 0.000000 0.000000 
89 69.000000 0.000000 0.000000 
90 68.000000 0.000000 0.000000 
91 67.000000 0.000000 0.000000 
92 66.000000 0.000000 0.000000 
93 65.000000 0.000000 0.000000 
94 64.000000 0.000000 0.000000 
95 63.000000 0.000000 0.000000 
96 62.000000 0.000000 0.000000 
97 61.000000 0.000000 0.000000 
98 60.000000 0.000000 0.000000 
99 59.000000 0.000000 0.000000 
100 58.000000 0.000000 0.000000 
101 57.000000 0.000000 0.000000 
102 56.000000 0.000000 0.000000 
103 55.000000 0.000000 0.000000 
104 54.000000 0.000000 0.000000 
105 53.000000 0.000000 0.000000 
106 52.000000 0.000000 0.000000 
107 51.000000 0.000000 0.000000 
108 50.000000 0.000000 0.000000 
109 49.000000 0.000000 0.000000 
110 48.000000 0.000000 0.000000 
111 47.000000 0.000000 0.000000 
112 46.000000 0.000000 0.000000 
113 45.000000 0.000000 0.000000 
114 44.000000 0.000000 0.000000 
115 43.000000 0.000000 0.000000 
116 42.000000 0.000000 0.000000 
117 41.000000 0.000000 0.000000 
118 40.000000 0.000000 0.000000 
119 39.000000 0.000000 0.000000 
120 38.000000 0.000000 0.000000 
121 37.000000 0.000000 0.000000 
122 36.000000 0.000000 0.000000 
123 35.000000 0.000000 0.000000 
124 34.000000 0.000000 0.000000 
125 33.000000 0.000000 0.000000 
126 32.000000 0.000000 0.000000 
127 31.000000 0.000000 0.000000 
128 30.000000 0.000000 0.000000 
129 29.000000 0.000000 0.000000 
130 28.000000 0.000000 0.000000 
131 27.000000 0.000000 0.000000 
132 26.000000 0.000000 0.000000 
133 25.000000 0.000000 0.000000 
134 24.000000 0.000000 0.000000 
135 23.000000 0.000000 0.000000 
136 22.000000 0.000000 0.000000 
137 21.000000 0.000000 0.000000 
138 20.000000 0.000000 0.000000 
139 19.000000 0.000000 0.000000 
140 18.000000 0.000000 0.000000 
141 17.000000 0.000000 0.000000 
142 16.000000 0.000000 0.000000 
143 15.000000 0.000000 0.000000 
144 14.000000 0.000000 0.000000 
145 13.000000 0.000000 0.000000 
146 12.000000 0.000000 0.000000 
147 11.000000 0.000000 0.000000 
148 10.000000 0.000000 0.000000 
149 9.000000 0.000000 0.000000 
150 8.000000 0.000000 0.000000 
151 7.000000 0.000000 0.000000 
152 6.000000 0.000000 0.000000 
153 5.000000 0.000000 0.000000 
154 4.000000 0.000000 0.000000 
155 3.000000 0.000000 0.000000 
156 2.000000 0.000000 0.000000 
157 1.000000 0.000000 0.000000 
158 0.000000 0.000000 0.000000 
159 108.000000 1.000000 1.000000 
160 107.000000 1.000000 1.000000 
161 106.000000 1.000000 1.000000 
162 105.000000 1.000000 1.000000 
163 104.000000 1.000000 1.000000 
164 103.000000 1.000000 1.000000 
165 102.000000 1.000000 1.000000 
166 101.000000 1.000000 1.000000 
167 100.000000 1.000000 1.000000 
168 99.000000 1.000000 1.000000 
169 98.000000 1.000000 1.000000 
170 97.000000 1.000000 1.000000 
171 96.000000 1.000000 1.000000 
172 95.000000 1.000000 1.000000 
173 94.000000 1.000000 1.000000 
174 93.000000 1.000000 1.000000 
175 92.000000 1.000000 1.000000 
176 91.000000 1.000000 1.000000 
177 90.000000 1.000000 1.000000 
178 89.000000 1.000000 1.000000 
179 88.000000 1.000000 1.000000 
180 87.000000 1.000000 1.000000 
181 86.000000 1.000000 1.000000 
182 85.000000 1.000000 1.000000 
183 84.000000 1.000000 1.000000 
184 83.000000 1.000000 1.000000 
185 82.000000 1.000000 1.000000 
186 81.000000 1.000000 1.000000 
187 80.000000 1.000000 1.000000 
188 79.000000 1.000000 1.000000 
189 78.000000 1.000000 1.000000 
190 77.000000 1.000000 1.000000 
191 76.000000 1.000000 1.000000 
192 75.000000 1.000000 1.000000 
193 74.000000 1.000000 1.000000 
194 73.000000 1.000000 1.000000 
195 72.000000 1.000000 1.000000 
196 71.000000 1.000000 1.000000 
197 70.000000 1.000000 1.000000 
198 69.000000 1.000000 1.000000 
199 68.000000 1.000000 1.000000 
200 67.000000 1.000000 1.000000 
201 66.000000 1.000000 1.000000 
202 65.000000 1.000000 1.000000 
203 64.000000 1.000000 1.000000 
204 63.000000 1.000000 1.000000 
205 62.000000 1.000000 1.000000 
206 61.000000 1.000000 1.000000 
207 60.000000 1.000000 1.000000 
208 59.000000 1.000000 1.000000 
209 58.000000 1.000000 1.000000 
210 57.000000 1.000000 1.000000 
211 56.000000 1.000000 1.000000 
212 55.000000 1.000000 1.000000 
213 54.000000 1.000000 1.000000 
214 53.000000 1.000000 1.000000 
215 52.000000 1.000000 1.000000 
216 51.000000 1.000000 1.000000 
217 50.000000 1.000000 1.000000 
218 49.000000 1.000000 1.000000 
219 48.000000 1.000000 1.000000 
220 47.000000 1.000000 1.000000 
221 46.000000 1.000000 1.000000 
222 45.000000 1.000000 1.000000 
223 44.000000 1.000000 1.000000 
224 43.000000 1.000000 1.000000 
225 42.000000 1.000000 1.000000 
226 41.000000 1.000000 1.000000 
227 40.000000 1.000000 1.000000 
228 39.000000 1.000000 1.000000 
229 38.000000 1.000000 1.000000 
230 37.000000 1.000000 1.000000 
231 36.000000 1.000000 1.000000 
232 35.000000 1.000000 1.000000 
233 34.000000 1.000000 1.000000 
234 33.000000 1.000000 1.000000 
235 32.000000 1.000000 1.000000 
236 31.000000 1.000000 1.000000 
237 30.000000 1.000000 1.000000 
238 29.000000 1.000000 1.000000 
239 28.000000 1.000000 1.000000 
240 27.000000 1.000000 1.000000 
241 26.000000 1.000000 1.000000 
242 25.000000 1.000000 1.000000 
243 24.000000 1.000000 1.000000 
244 23.000000 1.000000 1.000000 
245 22.000000 1.000000 1.000000 
246 21.000000 1.000000 1.000000 
247 20.000000 1.000000 1.000000 
248 19.000000 1.000000 1.000000 
249 18.000000 1.000000 1.000000 
250 17.000000 1.000000 1.000000 
251 16.000000 1.000000 1.000000 
252 15.000000 1.000000 1.000000 
253 14.000000 1.000000 1.000000 
254 13.000000 1.000000 1.000000 
255 12.000000 1.000000 1.000000 
256 11.000000 1.000000 1.000000 
257 10.000000 1.000000 1.000000 
258 9.000000 1.000000 1.000000 
259 8.000000 1.000000 1.000000 
260 7.000000 1.000000 1.000000 
261 6.000000 1.000000 1.000000 
262 5.000000 1.000000 1.000000 
263 4.000000 1.000000 1.000000 
264 3.000000 1.000000 1.000000 
265 2.000000 1.000000 1.000000 
266 1.000000 1.000000 1.000000 
267 0.000000 1.000000 1.000000 
268 89.000000 2.000000 2.000000 
269 88.000000 2.000000 2.000000 
270 87.000000 2.000000 2.000000 
271 86.000000 2.000000 2.000000 
272 85.000000 2.000000 2.000000 
273 84.000000 2.000000 2.000000 
274 83.000000 2.000000 2.000000 
275 82.000000 2.000000 2.000000 
276 81.000000 2.000000 2.000000 
277 80.000000 2.000000 2.000000 
278 79.000000 2.000000 2.000000 
279 78.000000 2.000000 2.000000 
280 77.000000 2.000000 2.000000 
281 76.000000 2.000000 2.000000 
282 75.000000 2.000000 2.000000 
283 74.000000 2.000000 2.000000 
284 73.000000 2.000000 2.000000 
285 72.000000 2.000000 2.000000 
286 71.000000 2.000000 2.000000 
287 70.000000 2.000000 2.000000 
288 69.000000 2.000000 2.000000 
289 68.000000 2.000000 2.000000 
290 67.000000 2.000000 2.000000 
291 66.000000 2.000000 2.000000 
292 65.000000 2.000000 2.000000 
293 64.000000 2.000000 2.000000 
294 63.000000 2.000000 2.000000 
295 62.000000 2.000000 2.000000 
296 61.000000 2.000000 2.000000 
297 60.000000 2.000000 2.000000 
298 59.000000 2.000000 2.000000 
299 58.000000 2.000000 2.000000 
300 57.000000 2.000000 2.000000 
301 56.000000 2.000000 2.000000 
302 55.000000 2.000000 2.000000 
303 54.000000 2.000000 2.000000 
304 53.000000 2.000000 2.000000 
305 52.000000 2.000000 2.000000 
306 51.000000 2.000000 2.000000 
307 50.000000 2.000000 2.000000 
308 49.000000 2.000000 2.000000 
