0 mc1.x[0] 0.000000
0 mc1.x[1] 0.000000
0 mc1.y[0] 0.000000
0 mc1.y[1] 0.000000
0 mc1.u[0] 0.000000
0 mc1.u[1] 0.000000
0 mc2.x[0] 0.000000
0 mc2.x[1] 0.000000
0 mc2.y[0] 0.000000
0 mc2.y[1] 0.000000
0 mc2.u[0] 0.000000
0 mc2.u[1] 0.000000
1 mc1.x[0] 0.000000
1 mc1.x[1] 0.000000
1 mc1.y[0] 0.000000
1 mc1.y[1] 0.000000
1 mc1.u[0] 0.424396
1 mc1.u[1] 0.132007
1 mc2.x[0] 0.424396
1 mc2.x[1] 0.132007
1 mc2.y[0] 0.424396
1 mc2.y[1] 0.132007
1 mc2.u[0] 0.000000
1 mc2.u[1] 0.000000
2 mc1.x[0] 0.063425
2 mc1.x[1] 0.007111
2 mc1.y[0] 0.063425
2 mc1.y[1] 0.007111
2 mc1.u[0] 0.679907
2 mc1.u[1] 0.559643
2 mc2.x[0] 0.679907
2 mc2.x[1] 0.559643
2 mc2.y[0] 0.679907
2 mc2.y[1] 0.559643
2 mc2.u[0] 0.063425
2 mc2.u[1] 0.007111
3 mc1.x[0] 0.624303
3 mc1.x[1] 0.358789
3 mc1.y[0] 0.624303
3 mc1.y[1] 0.358789
3 mc1.u[0] 0.303040
3 mc1.u[1] 0.365591
3 mc2.x[0] 0.303040
3 mc2.x[1] 0.365591
3 mc2.y[0] 0.303040
3 mc2.y[1] 0.365591
3 mc2.u[0] 0.624303
3 mc2.u[1] 0.358789
4 mc1.x[0] 0.253186
4 mc1.x[1] 0.330577
4 mc1.y[0] 0.253186
4 mc1.y[1] 0.330577
4 mc1.u[0] 1.326988
4 mc1.u[1] 1.045426
4 mc2.x[0] 1.326988
4 mc2.x[1] 1.045426
4 mc2.y[0] 1.326988
4 mc2.y[1] 1.045426
4 mc2.u[0] 0.253186
4 mc2.u[1] 0.330577
5 mc1.x[0] 1.139567
5 mc1.x[1] 1.021724
5 mc1.y[0] 1.139567
5 mc1.y[1] 1.021724
5 mc1.u[0] 0.515475
5 mc1.u[1] 0.659064
5 mc2.x[0] 0.515475
5 mc2.x[1] 0.659064
5 mc2.y[0] 0.515475
5 mc2.y[1] 0.659064
5 mc2.u[0] 1.139567
5 mc2.u[1] 1.021724
6 mc1.x[0] 0.451816
6 mc1.x[1] 0.115041
6 mc1.y[0] 0.451816
6 mc1.y[1] 0.115041
6 mc1.u[0] 1.941292
6 mc1.u[1] 1.408257
6 mc2.x[0] 1.941292
6 mc2.x[1] 1.408257
6 mc2.y[0] 1.941292
6 mc2.y[1] 1.408257
6 mc2.u[0] 0.451816
6 mc2.u[1] 0.115041
7 mc1.x[0] 1.001145
7 mc1.x[1] 0.013119
7 mc1.y[0] 1.001145
7 mc1.y[1] 0.013119
7 mc1.u[0] 0.909876
7 mc1.u[1] 0.289350
7 mc2.x[0] 0.909876
7 mc2.x[1] 0.289350
7 mc2.y[0] 0.909876
7 mc2.y[1] 0.289350
7 mc2.u[0] 1.001145
7 mc2.u[1] 0.013119
8 mc1.x[0] 0.219005
8 mc1.x[1] 0.137011
8 mc1.y[0] 0.219005
8 mc1.y[1] 0.137011
8 mc1.u[0] 1.311121
8 mc1.u[1] 0.585049
8 mc2.x[0] 1.311121
8 mc2.x[1] 0.585049
8 mc2.y[0] 1.311121
8 mc2.y[1] 0.585049
8 mc2.u[0] 0.219005
8 mc2.u[1] 0.137011
9 mc1.x[0] 1.070060
9 mc1.x[1] 0.499188
9 mc1.y[0] 1.070060
9 mc1.y[1] 0.499188
9 mc1.u[0] 0.264034
9 mc1.u[1] 0.938550
9 mc2.x[0] 0.264034
9 mc2.x[1] 0.938550
9 mc2.y[0] 0.264034
9 mc2.y[1] 0.938550
9 mc2.u[0] 1.070060
9 mc2.u[1] 0.499188
10 mc1.x[0] 0.190453
10 mc1.x[1] 0.610698
10 mc1.y[0] 0.190453
10 mc1.y[1] 0.610698
10 mc1.u[0] 1.172497
10 mc1.u[1] 0.944294
10 mc2.x[0] 1.172497
10 mc2.x[1] 0.944294
10 mc2.y[0] 1.172497
10 mc2.y[1] 0.944294
10 mc2.u[0] 0.190453
10 mc2.u[1] 0.610698
